-180 -80  10.056  -9.995 0 0 0
-179 -80  10.227  -9.885 0 0 0
-178 -80  10.396  -9.772 0 0 0
-177 -80  10.563  -9.655 0 0 0
-176 -80  10.728  -9.536 0 0 0
-175 -80  10.891  -9.414 0 0 0
-174 -80  11.052  -9.290 0 0 0
-173 -80  11.210  -9.162 0 0 0
-172 -80  11.367  -9.032 0 0 0
-171 -80  11.521  -8.898 0 0 0
-170 -80  11.673  -8.762 0 0 0
-169 -80  11.822  -8.624 0 0 0
-168 -80  11.968  -8.482 0 0 0
-167 -80  12.113  -8.339 0 0 0
-166 -80  12.256  -8.192 0 0 0
-165 -80  12.395  -8.043 0 0 0
-164 -80  12.533  -7.892 0 0 0
-163 -80  12.666  -7.738 0 0 0
-162 -80  12.798  -7.582 0 0 0
-161 -80  12.927  -7.423 0 0 0
-160 -80  13.053  -7.263 0 0 0
-159 -80  13.177  -7.100 0 0 0
-158 -80  13.297  -6.935 0 0 0
-157 -80  13.415  -6.768 0 0 0
-156 -80  13.530  -6.599 0 0 0
-155 -80  13.642  -6.427 0 0 0
-154 -80  13.751  -6.254 0 0 0
-153 -80  13.856  -6.079 0 0 0
-152 -80  13.960  -5.902 0 0 0
-151 -80  14.060  -5.723 0 0 0
-150 -80  14.157  -5.542 0 0 0
-149 -80  14.250  -5.361 0 0 0
-148 -80  14.341  -5.177 0 0 0
-147 -80  14.428  -4.991 0 0 0
-146 -80  14.513  -4.804 0 0 0
-145 -80  14.593  -4.616 0 0 0
-144 -80  14.671  -4.426 0 0 0
-143 -80  14.745  -4.236 0 0 0
-142 -80  14.817  -4.043 0 0 0
-141 -80  14.885  -3.849 0 0 0
-140 -80  14.949  -3.654 0 0 0
-139 -80  15.011  -3.458 0 0 0
-138 -80  15.068  -3.262 0 0 0
-137 -80  15.122  -3.063 0 0 0
-136 -80  15.173  -2.864 0 0 0
-135 -80  15.221  -2.664 0 0 0
-134 -80  15.265  -2.464 0 0 0
-133 -80  15.305  -2.262 0 0 0
-132 -80  15.342  -2.061 0 0 0
-131 -80  15.377  -1.858 0 0 0
-130 -80  15.407  -1.655 0 0 0
-129 -80  15.434  -1.451 0 0 0
-128 -80  15.457  -1.247 0 0 0
-127 -80  15.476  -1.043 0 0 0
-126 -80  15.492  -0.837 0 0 0
-125 -80  15.505  -0.633 0 0 0
-124 -80  15.514  -0.427 0 0 0
-123 -80  15.520  -0.221 0 0 0
-122 -80  15.521  -0.016 0 0 0
-121 -80  15.519   0.190 0 0 0
-120 -80  15.515   0.395 0 0 0
-119 -80  15.507   0.601 0 0 0
-118 -80  15.495   0.805 0 0 0
-117 -80  15.478   1.010 0 0 0
-116 -80  15.459   1.216 0 0 0
-115 -80  15.437   1.419 0 0 0
-114 -80  15.411   1.623 0 0 0
-113 -80  15.381   1.826 0 0 0
-112 -80  15.348   2.029 0 0 0
-111 -80  15.312   2.232 0 0 0
-110 -80  15.272   2.433 0 0 0
-109 -80  15.228   2.634 0 0 0
-108 -80  15.181   2.834 0 0 0
-107 -80  15.130   3.032 0 0 0
-106 -80  15.077   3.230 0 0 0
-105 -80  15.019   3.428 0 0 0
-104 -80  14.959   3.624 0 0 0
-103 -80  14.895   3.819 0 0 0
-102 -80  14.827   4.013 0 0 0
-101 -80  14.756   4.205 0 0 0
-100 -80  14.683   4.397 0 0 0
 -99 -80  14.605   4.587 0 0 0
 -98 -80  14.525   4.776 0 0 0
 -97 -80  14.441   4.963 0 0 0
 -96 -80  14.355   5.149 0 0 0
 -95 -80  14.264   5.332 0 0 0
 -94 -80  14.171   5.515 0 0 0
 -93 -80  14.075   5.695 0 0 0
 -92 -80  13.976   5.875 0 0 0
 -91 -80  13.872   6.052 0 0 0
 -90 -80  13.768   6.227 0 0 0
 -89 -80  13.659   6.401 0 0 0
 -88 -80  13.547   6.572 0 0 0
 -87 -80  13.433   6.742 0 0 0
 -86 -80  13.316   6.909 0 0 0
 -85 -80  13.196   7.075 0 0 0
 -84 -80  13.073   7.238 0 0 0
 -83 -80  12.947   7.399 0 0 0
 -82 -80  12.818   7.558 0 0 0
 -81 -80  12.687   7.714 0 0 0
 -80 -80  12.553   7.868 0 0 0
 -79 -80  12.416   8.020 0 0 0
 -78 -80  12.277   8.169 0 0 0
 -77 -80  12.136   8.316 0 0 0
 -76 -80  11.991   8.460 0 0 0
 -75 -80  11.845   8.602 0 0 0
 -74 -80  11.696   8.741 0 0 0
 -73 -80  11.544   8.877 0 0 0
 -72 -80  11.390   9.011 0 0 0
 -71 -80  11.235   9.142 0 0 0
 -70 -80  11.076   9.271 0 0 0
 -69 -80  10.916   9.396 0 0 0
 -68 -80  10.753   9.518 0 0 0
 -67 -80  10.589   9.638 0 0 0
 -66 -80  10.422   9.754 0 0 0
 -65 -80  10.253   9.868 0 0 0
 -64 -80  10.083   9.979 0 0 0
 -63 -80   9.910  10.087 0 0 0
 -62 -80   9.736  10.190 0 0 0
 -61 -80   9.560  10.292 0 0 0
 -60 -80   9.382  10.390 0 0 0
 -59 -80   9.203  10.485 0 0 0
 -58 -80   9.022  10.578 0 0 0
 -57 -80   8.839  10.667 0 0 0
 -56 -80   8.656  10.752 0 0 0
 -55 -80   8.470  10.834 0 0 0
 -54 -80   8.283  10.913 0 0 0
 -53 -80   8.095  10.989 0 0 0
 -52 -80   7.905  11.060 0 0 0
 -51 -80   7.714  11.130 0 0 0
 -50 -80   7.522  11.195 0 0 0
 -49 -80   7.330  11.257 0 0 0
 -48 -80   7.135  11.316 0 0 0
 -47 -80   6.941  11.371 0 0 0
 -46 -80   6.744  11.423 0 0 0
 -45 -80   6.548  11.471 0 0 0
 -44 -80   6.350  11.516 0 0 0
 -43 -80   6.152  11.557 0 0 0
 -42 -80   5.953  11.595 0 0 0
 -41 -80   5.753  11.629 0 0 0
 -40 -80   5.554  11.659 0 0 0
 -39 -80   5.353  11.686 0 0 0
 -38 -80   5.151  11.711 0 0 0
 -37 -80   4.951  11.730 0 0 0
 -36 -80   4.749  11.747 0 0 0
 -35 -80   4.546  11.760 0 0 0
 -34 -80   4.345  11.769 0 0 0
 -33 -80   4.142  11.774 0 0 0
 -32 -80   3.940  11.776 0 0 0
 -31 -80   3.737  11.775 0 0 0
 -30 -80   3.535  11.770 0 0 0
 -29 -80   3.333  11.761 0 0 0
 -28 -80   3.131  11.749 0 0 0
 -27 -80   2.929  11.733 0 0 0
 -26 -80   2.727  11.714 0 0 0
 -25 -80   2.526  11.691 0 0 0
 -24 -80   2.325  11.664 0 0 0
 -23 -80   2.125  11.634 0 0 0
 -22 -80   1.925  11.601 0 0 0
 -21 -80   1.727  11.563 0 0 0
 -20 -80   1.528  11.522 0 0 0
 -19 -80   1.330  11.479 0 0 0
 -18 -80   1.133  11.431 0 0 0
 -17 -80   0.937  11.379 0 0 0
 -16 -80   0.742  11.324 0 0 0
 -15 -80   0.548  11.266 0 0 0
 -14 -80   0.355  11.205 0 0 0
 -13 -80   0.163  11.140 0 0 0
 -12 -80  -0.028  11.072 0 0 0
 -11 -80  -0.218  11.000 0 0 0
 -10 -80  -0.406  10.925 0 0 0
  -9 -80  -0.593  10.846 0 0 0
  -8 -80  -0.779  10.764 0 0 0
  -7 -80  -0.963  10.680 0 0 0
  -6 -80  -1.146  10.591 0 0 0
  -5 -80  -1.327  10.500 0 0 0
  -4 -80  -1.507  10.406 0 0 0
  -3 -80  -1.685  10.307 0 0 0
  -2 -80  -1.862  10.206 0 0 0
  -1 -80  -2.036  10.102 0 0 0
   0 -80  -2.209   9.995 0 0 0
   1 -80  -2.380   9.885 0 0 0
   2 -80  -2.549   9.772 0 0 0
   3 -80  -2.716   9.655 0 0 0
   4 -80  -2.881   9.536 0 0 0
   5 -80  -3.043   9.414 0 0 0
   6 -80  -3.204   9.290 0 0 0
   7 -80  -3.363   9.162 0 0 0
   8 -80  -3.519   9.032 0 0 0
   9 -80  -3.673   8.898 0 0 0
  10 -80  -3.824   8.762 0 0 0
  11 -80  -3.974   8.624 0 0 0
  12 -80  -4.121   8.482 0 0 0
  13 -80  -4.266   8.339 0 0 0
  14 -80  -4.408   8.192 0 0 0
  15 -80  -4.547   8.043 0 0 0
  16 -80  -4.684   7.892 0 0 0
  17 -80  -4.819   7.738 0 0 0
  18 -80  -4.950   7.582 0 0 0
  19 -80  -5.079   7.423 0 0 0
  20 -80  -5.205   7.263 0 0 0
  21 -80  -5.329   7.100 0 0 0
  22 -80  -5.450   6.935 0 0 0
  23 -80  -5.568   6.768 0 0 0
  24 -80  -5.682   6.599 0 0 0
  25 -80  -5.794   6.427 0 0 0
